position,playerid,playername,team,competition,appearances,AVG,MOTMs,goals,assists,yellow_cards,two_yellow,red_cards,saves,goals_conceded,cleansheets
CB,229705,Jean-Kévin Duverne,KAA Gent,1A Pro League,8,6.30,0,0,0,0,0,0,0,5,0
LB,262473,Souffian El Karouani,Olympique de Marseille,Ligue 1 McDonald's,2,5.90,0,0,0,0,0,0,0,1,0
LB,262473,Souffian El Karouani,Olympique de Marseille,UEFA Champions League,1,6.20,0,0,0,0,0,0,0,1,0
CB,262474,Cas Odenthal,Bari,Coppa Italia,2,5.55,0,0,0,0,0,0,0,3,0
ST,246094,Ryan Graydon,Salford City,Vertu Trophy,1,6.10,0,0,0,0,0,0,0,0,0
CB,213331,Jonathan Tah,FC Bayern München,UEFA Champions League,1,6.30,0,0,0,0,0,0,0,0,0
LB,196952,Jake Bidwell,Coventry City,EFL Championship,3,5.93,0,0,0,0,0,0,0,2,0
LB,196952,Jake Bidwell,Coventry City,Carabao Cup,3,6.47,0,0,0,0,0,0,0,4,1
CAM,246099,Kenzo Goudmijn,Go Ahead Eagles,UEFA Europa League,1,7.20,0,1,0,0,0,0,0,2,0
CM,270673,Warren Zaïre-Emery,Paris Saint-Germain,UEFA Super Cup,1,5.20,0,0,0,0,0,0,0,3,0
CM,270673,Warren Zaïre-Emery,Paris Saint-Germain,UEFA Champions League,1,6.90,0,0,1,1,0,0,0,1,0
CM,270673,Warren Zaïre-Emery,Paris Saint-Germain,Ligue 1 McDonald's,5,6.98,1,2,1,0,0,0,0,2,0
RB,270674,Alberto Costa,FC Porto,Liga Portugal,6,6.95,0,0,0,1,0,0,0,3,3
RB,270674,Alberto Costa,FC Porto,UEFA Europa League,1,6.00,0,0,0,0,0,0,0,0,0
CDM,74091,Gorrotxa,Real Sociedad,LALIGA EA SPORTS,7,6.70,1,1,2,0,0,0,0,7,1
