competition,compobjid,hometeamid,awayteamid,hometeam,homescore,awayscore,awayteam,date,time
Saudi Pro League,1645,111674,112393,Al Shabab,TBD,TBD,Al Taawoun,20251129,1400
Saudi Pro League,1645,111674,112387,Al Shabab,TBD,TBD,Al Ahli,20251205,1600
Saudi Pro League,1645,112393,112139,Al Taawoun,TBD,TBD,Al Nassr,20251204,1700
Saudi Pro League,1645,112390,113057,Al Fateh,TBD,TBD,Al Fayha,20251204,1700
Saudi Pro League,1645,131798,112096,Neom,TBD,TBD,Al Ettifaq,20251205,1600
Saudi Pro League,1645,113060,112391,Al Okhdood,TBD,TBD,Al Qadsiah,20251205,1800
Saudi Pro League,1645,113037,131735,Al Riyadh,TBD,TBD,Al Kholood,20251205,1800
Saudi Pro League,1645,113222,607,Al Hazem,TBD,TBD,Al Ittihad,20251205,1800
Saudi Pro League,1645,605,115892,Al Hilal,TBD,TBD,Al Najmah,20251204,1700
Saudi Pro League,1645,113217,112883,Damac,TBD,TBD,Al Khaleej,20251205,1600
Saudi Pro League,1645,112387,113217,Al Ahli,TBD,TBD,Damac,20251213,1400
Saudi Pro League,1645,112883,605,Al Khaleej,TBD,TBD,Al Hilal,20251212,1730
Saudi Pro League,1645,115892,113222,Al Najmah,TBD,TBD,Al Hazem,20251213,1600
Saudi Pro League,1645,607,113037,Al Ittihad,TBD,TBD,Al Riyadh,20251212,1730
Saudi Pro League,1645,131735,113060,Al Kholood,TBD,TBD,Al Okhdood,20251213,1800
Saudi Pro League,1645,112391,131798,Al Qadsiah,TBD,TBD,Neom,20251213,1400
Saudi Pro League,1645,112096,112390,Al Ettifaq,TBD,TBD,Al Fateh,20251213,1800
Saudi Pro League,1645,113057,112393,Al Fayha,TBD,TBD,Al Taawoun,20251213,1400
Saudi Pro League,1645,112139,111674,Al Nassr,TBD,TBD,Al Shabab,20251213,1400
Saudi Pro League,1645,112139,112387,Al Nassr,TBD,TBD,Al Ahli,20251219,1730
Saudi Pro League,1645,111674,113057,Al Shabab,TBD,TBD,Al Fayha,20251219,1730
Saudi Pro League,1645,112393,112096,Al Taawoun,TBD,TBD,Al Ettifaq,20251220,1600
Saudi Pro League,1645,112390,112391,Al Fateh,TBD,TBD,Al Qadsiah,20251220,1800
Saudi Pro League,1645,131798,131735,Neom,TBD,TBD,Al Kholood,20251220,1400
Saudi Pro League,1645,113060,607,Al Okhdood,TBD,TBD,Al Ittihad,20251220,1800
Saudi Pro League,1645,113037,115892,Al Riyadh,TBD,TBD,Al Najmah,20251220,1600
Saudi Pro League,1645,113222,112883,Al Hazem,TBD,TBD,Al Khaleej,20251220,1400
Saudi Pro League,1645,605,113217,Al Hilal,TBD,TBD,Damac,20251220,1400
Saudi Pro League,1645,112387,605,Al Ahli,TBD,TBD,Al Hilal,20260207,1400
