competition,compobjid,hometeamid,awayteamid,hometeam,homescore,awayscore,awayteam,date,time
Serie A Enilive,1076,189,206,Bologna,TBD,TBD,Hellas Verona,20260306,1945
Serie A Enilive,1076,1842,1745,Cagliari,TBD,TBD,Como 1907,20260307,1400
Serie A Enilive,1076,131681,131682,AC Milan,TBD,TBD,Inter Milan,20260307,1700
Serie A Enilive,1076,115845,55,Atalanta,TBD,TBD,Udinese,20260307,1945
Serie A Enilive,1076,115841,111974,Lazio,TBD,TBD,Sassuolo,20260308,1130
Serie A Enilive,1076,110556,52,Genoa,TBD,TBD,AS Roma,20260308,1400
Serie A Enilive,1076,347,111434,Lecce,TBD,TBD,Cremonese,20260308,1400
Serie A Enilive,1076,45,110738,Juventus,TBD,TBD,Pisa,20260308,1700
Serie A Enilive,1076,48,54,SSC Napoli,TBD,TBD,Torino,20260308,1945
Serie A Enilive,1076,110374,50,Fiorentina,TBD,TBD,Parma,20260309,1945
Serie A Enilive,1076,54,50,Torino,TBD,TBD,Parma,20260313,1945
Serie A Enilive,1076,110738,1842,Pisa,TBD,TBD,Cagliari,20260314,1400
Serie A Enilive,1076,48,347,SSC Napoli,TBD,TBD,Lecce,20260314,1700
Serie A Enilive,1076,111974,189,Sassuolo,TBD,TBD,Bologna,20260314,1945
Serie A Enilive,1076,115841,131681,Lazio,TBD,TBD,AC Milan,20260315,1130
Serie A Enilive,1076,1745,52,Como 1907,TBD,TBD,AS Roma,20260315,1400
Serie A Enilive,1076,111434,110374,Cremonese,TBD,TBD,Fiorentina,20260315,1400
Serie A Enilive,1076,131682,115845,Inter Milan,TBD,TBD,Atalanta,20260315,1700
Serie A Enilive,1076,55,45,Udinese,TBD,TBD,Juventus,20260315,1945
Serie A Enilive,1076,206,110556,Hellas Verona,TBD,TBD,Genoa,20260316,1945
Serie A Enilive,1076,52,347,AS Roma,TBD,TBD,Lecce,20260320,1945
Serie A Enilive,1076,189,115841,Bologna,TBD,TBD,Lazio,20260321,1400
Serie A Enilive,1076,1842,48,Cagliari,TBD,TBD,SSC Napoli,20260321,1700
Serie A Enilive,1076,115845,206,Atalanta,TBD,TBD,Hellas Verona,20260321,1945
Serie A Enilive,1076,110374,131682,Fiorentina,TBD,TBD,Inter Milan,20260322,1130
Serie A Enilive,1076,1745,110738,Como 1907,TBD,TBD,Pisa,20260322,1400
Serie A Enilive,1076,110556,55,Genoa,TBD,TBD,Udinese,20260322,1400
Serie A Enilive,1076,131681,54,AC Milan,TBD,TBD,Torino,20260322,1400
Serie A Enilive,1076,50,111434,Parma,TBD,TBD,Cremonese,20260322,1700
Serie A Enilive,1076,45,111974,Juventus,TBD,TBD,Sassuolo,20260322,1945
Serie A Enilive,1076,206,110374,Hellas Verona,TBD,TBD,Fiorentina,20260404,1400
Serie A Enilive,1076,45,110556,Juventus,TBD,TBD,Genoa,20260404,1400
Serie A Enilive,1076,111974,1842,Sassuolo,TBD,TBD,Cagliari,20260404,1700
Serie A Enilive,1076,48,131681,SSC Napoli,TBD,TBD,AC Milan,20260404,1945
Serie A Enilive,1076,131682,52,Inter Milan,TBD,TBD,AS Roma,20260405,1130
Serie A Enilive,1076,115841,50,Lazio,TBD,TBD,Parma,20260405,1400
Serie A Enilive,1076,110738,54,Pisa,TBD,TBD,Torino,20260405,1400
Serie A Enilive,1076,111434,189,Cremonese,TBD,TBD,Bologna,20260405,1700
Serie A Enilive,1076,55,1745,Udinese,TBD,TBD,Como 1907,20260405,1700
Serie A Enilive,1076,347,115845,Lecce,TBD,TBD,Atalanta,20260405,1945
Serie A Enilive,1076,54,206,Torino,TBD,TBD,Hellas Verona,20260410,1945
Serie A Enilive,1076,189,347,Bologna,TBD,TBD,Lecce,20260411,1400
Serie A Enilive,1076,52,110738,AS Roma,TBD,TBD,Pisa,20260411,1700
Serie A Enilive,1076,110374,115841,Fiorentina,TBD,TBD,Lazio,20260411,1945
Serie A Enilive,1076,131681,55,AC Milan,TBD,TBD,Udinese,20260412,1130
Serie A Enilive,1076,1842,111434,Cagliari,TBD,TBD,Cremonese,20260412,1400
Serie A Enilive,1076,110556,111974,Genoa,TBD,TBD,Sassuolo,20260412,1400
Serie A Enilive,1076,1745,131682,Como 1907,TBD,TBD,Inter Milan,20260412,1700
Serie A Enilive,1076,50,48,Parma,TBD,TBD,SSC Napoli,20260412,1945
Serie A Enilive,1076,115845,45,Atalanta,TBD,TBD,Juventus,20260413,1945
Serie A Enilive,1076,55,50,Udinese,TBD,TBD,Parma,20260417,1945
Serie A Enilive,1076,111434,54,Cremonese,TBD,TBD,Torino,20260418,1400
Serie A Enilive,1076,347,110374,Lecce,TBD,TBD,Fiorentina,20260418,1700
Serie A Enilive,1076,45,189,Juventus,TBD,TBD,Bologna,20260418,1945
Serie A Enilive,1076,131682,1842,Inter Milan,TBD,TBD,Cagliari,20260419,1130
Serie A Enilive,1076,110738,110556,Pisa,TBD,TBD,Genoa,20260419,1400
Serie A Enilive,1076,52,115845,AS Roma,TBD,TBD,Atalanta,20260419,1400
Serie A Enilive,1076,111974,1745,Sassuolo,TBD,TBD,Como 1907,20260419,1700
Serie A Enilive,1076,48,115841,SSC Napoli,TBD,TBD,Lazio,20260419,1945
Serie A Enilive,1076,206,131681,Hellas Verona,TBD,TBD,AC Milan,20260420,1945
Serie A Enilive,1076,1842,115845,Cagliari,TBD,TBD,Atalanta,20260424,1945
Serie A Enilive,1076,110556,1745,Genoa,TBD,TBD,Como 1907,20260425,1400
Serie A Enilive,1076,206,347,Hellas Verona,TBD,TBD,Lecce,20260425,1700
Serie A Enilive,1076,131681,45,AC Milan,TBD,TBD,Juventus,20260425,1945
Serie A Enilive,1076,50,110738,Parma,TBD,TBD,Pisa,20260426,1130
Serie A Enilive,1076,189,52,Bologna,TBD,TBD,AS Roma,20260426,1400
Serie A Enilive,1076,115841,55,Lazio,TBD,TBD,Udinese,20260426,1400
Serie A Enilive,1076,54,131682,Torino,TBD,TBD,Inter Milan,20260426,1700
Serie A Enilive,1076,110374,111974,Fiorentina,TBD,TBD,Sassuolo,20260426,1945
Serie A Enilive,1076,48,111434,SSC Napoli,TBD,TBD,Cremonese,20260427,1945
Serie A Enilive,1076,110738,347,Pisa,TBD,TBD,Lecce,20260501,1945
Serie A Enilive,1076,55,54,Udinese,TBD,TBD,Torino,20260502,1400
Serie A Enilive,1076,189,1842,Bologna,TBD,TBD,Cagliari,20260502,1700
Serie A Enilive,1076,45,206,Juventus,TBD,TBD,Hellas Verona,20260502,1945
Serie A Enilive,1076,131682,50,Inter Milan,TBD,TBD,Parma,20260503,1130
Serie A Enilive,1076,52,110374,AS Roma,TBD,TBD,Fiorentina,20260503,1400
Serie A Enilive,1076,111974,131681,Sassuolo,TBD,TBD,AC Milan,20260503,1400
Serie A Enilive,1076,111434,115841,Cremonese,TBD,TBD,Lazio,20260503,1700
Serie A Enilive,1076,115845,110556,Atalanta,TBD,TBD,Genoa,20260503,1945
Serie A Enilive,1076,1745,48,Como 1907,TBD,TBD,SSC Napoli,20260504,1945
Serie A Enilive,1076,1842,55,Cagliari,TBD,TBD,Udinese,20260508,1945
Serie A Enilive,1076,54,111974,Torino,TBD,TBD,Sassuolo,20260509,1400
Serie A Enilive,1076,50,52,Parma,TBD,TBD,AS Roma,20260509,1700
Serie A Enilive,1076,347,45,Lecce,TBD,TBD,Juventus,20260509,1945
Serie A Enilive,1076,131681,115845,AC Milan,TBD,TBD,Atalanta,20260510,1130
